"OwnerAge","Gender","Area","RiskClass","VehAge","BonusClass","ClaimMade"
18,"Female","Zone 5","EV ratio 9-12",14,"BM4","0"
18,"Female","Zone 6","EV ratio 6-8",12,"BM1","0"
18,"Female","Zone 6","EV ratio 6-8",13,"BM1","0"
18,"Female","Zone 6","EV ratio 9-12",16,"BM4","0"
18,"Female","Zone 6","EV ratio 13-15",13,"BM2","0"
18,"Female","Zone 6","EV ratio 16-19",2,"BM1","0"
18,"Male","Zone 1","EV ratio <5",2,"BM2","0"
18,"Male","Zone 1","EV ratio <5",5,"BM1","0"
18,"Male","Zone 1","EV ratio <5",5,"BM5","0"
18,"Male","Zone 1","EV ratio <5",6,"BM1","0"
18,"Male","Zone 1","EV ratio <5",8,"BM2","0"
18,"Male","Zone 1","EV ratio <5",10,"BM1","0"
18,"Male","Zone 1","EV ratio <5",15,"BM2","0"
18,"Male","Zone 1","EV ratio 6-8",7,"BM2","0"
18,"Male","Zone 1","EV ratio 6-8",9,"BM1","0"
18,"Male","Zone 1","EV ratio 6-8",10,"BM3","0"
18,"Male","Zone 1","EV ratio 6-8",11,"BM1","0"
18,"Male","Zone 1","EV ratio 6-8",11,"BM2","0"
18,"Male","Zone 1","EV ratio 6-8",11,"BM3","0"
18,"Male","Zone 1","EV ratio 6-8",13,"BM1","0"
18,"Male","Zone 1","EV ratio 6-8",14,"BM1","0"
18,"Male","Zone 1","EV ratio 6-8",17,"BM1","0"
18,"Male","Zone 1","EV ratio 9-12",4,"BM2","0"
18,"Male","Zone 1","EV ratio 9-12",4,"BM3","0"
18,"Male","Zone 1","EV ratio 9-12",4,"BM5","0"
18,"Male","Zone 1","EV ratio 9-12",5,"BM1","0"
18,"Male","Zone 1","EV ratio 9-12",5,"BM2","0"
18,"Male","Zone 1","EV ratio 9-12",5,"BM3","0"
18,"Male","Zone 1","EV ratio 9-12",6,"BM1","0"
18,"Male","Zone 1","EV ratio 9-12",14,"BM1","0"
18,"Male","Zone 1","EV ratio 13-15",3,"BM2","0"
18,"Male","Zone 1","EV ratio 16-19",9,"BM1","0"
18,"Male","Zone 1","EV ratio 16-19",13,"BM1","0"
18,"Male","Zone 2","EV ratio <5",1,"BM2","0"
18,"Male","Zone 2","EV ratio <5",2,"BM2","0"
18,"Male","Zone 2","EV ratio <5",2,"BM3","0"
18,"Male","Zone 2","EV ratio <5",3,"BM1","0"
18,"Male","Zone 2","EV ratio <5",4,"BM2","0"
18,"Male","Zone 2","EV ratio <5",4,"BM3","0"
18,"Male","Zone 2","EV ratio <5",6,"BM1","0"
18,"Male","Zone 2","EV ratio <5",6,"BM2","0"
18,"Male","Zone 2","EV ratio <5",7,"BM1","0"
18,"Male","Zone 2","EV ratio <5",7,"BM2","0"
18,"Male","Zone 2","EV ratio <5",8,"BM2","0"
18,"Male","Zone 2","EV ratio <5",9,"BM2","0"
18,"Male","Zone 2","EV ratio <5",10,"BM1","0"
18,"Male","Zone 2","EV ratio <5",10,"BM2","0"
18,"Male","Zone 2","EV ratio <5",11,"BM1","0"
18,"Male","Zone 2","EV ratio <5",12,"BM1","0"
18,"Male","Zone 2","EV ratio <5",13,"BM1","0"
18,"Male","Zone 2","EV ratio <5",14,"BM1","0"
18,"Male","Zone 2","EV ratio <5",15,"BM1","0"
18,"Male","Zone 2","EV ratio <5",16,"BM1","0"
18,"Male","Zone 2","EV ratio <5",20,"BM2","0"
18,"Male","Zone 2","EV ratio <5",30,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",8,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",8,"BM2","0"
18,"Male","Zone 2","EV ratio 6-8",9,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",10,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",10,"BM2","0"
18,"Male","Zone 2","EV ratio 6-8",11,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",11,"BM2","0"
18,"Male","Zone 2","EV ratio 6-8",12,"BM2","0"
18,"Male","Zone 2","EV ratio 6-8",12,"BM3","0"
18,"Male","Zone 2","EV ratio 6-8",15,"BM1","0"
18,"Male","Zone 2","EV ratio 6-8",17,"BM1","0"
18,"Male","Zone 2","EV ratio 9-12",3,"BM1","0"
18,"Male","Zone 2","EV ratio 9-12",3,"BM2","0"
18,"Male","Zone 2","EV ratio 9-12",3,"BM3","0"
18,"Male","Zone 2","EV ratio 9-12",3,"BM4","0"
18,"Male","Zone 2","EV ratio 9-12",4,"BM2","0"
18,"Male","Zone 2","EV ratio 9-12",5,"BM1","0"
18,"Male","Zone 2","EV ratio 9-12",5,"BM2","0"
18,"Male","Zone 2","EV ratio 9-12",5,"BM3","0"
18,"Male","Zone 2","EV ratio 9-12",6,"BM2","0"
18,"Male","Zone 2","EV ratio 9-12",6,"BM3","0"
18,"Male","Zone 2","EV ratio 9-12",7,"BM1","0"
18,"Male","Zone 2","EV ratio 9-12",8,"BM1","0"
18,"Male","Zone 2","EV ratio 9-12",8,"BM2","0"
18,"Male","Zone 2","EV ratio 9-12",8,"BM3","0"
18,"Male","Zone 2","EV ratio 9-12",9,"BM3","0"
18,"Male","Zone 2","EV ratio 9-12",11,"BM1","0"
18,"Male","Zone 2","EV ratio 13-15",1,"BM2","0"
18,"Male","Zone 2","EV ratio 13-15",3,"BM5","0"
18,"Male","Zone 2","EV ratio 13-15",5,"BM2","0"
18,"Male","Zone 2","EV ratio 13-15",7,"BM1","0"
18,"Male","Zone 2","EV ratio 13-15",9,"BM1","0"
18,"Male","Zone 2","EV ratio 13-15",9,"BM2","0"
18,"Male","Zone 2","EV ratio 13-15",15,"BM1","0"
18,"Male","Zone 2","EV ratio 16-19",15,"BM2","0"
18,"Male","Zone 2","EV ratio 20-24",5,"BM1","0"
18,"Male","Zone 2","EV ratio >25",6,"BM4","0"
18,"Male","Zone 3","EV ratio <5",3,"BM1","0"
18,"Male","Zone 3","EV ratio <5",3,"BM3","0"
18,"Male","Zone 3","EV ratio <5",5,"BM1","0"
18,"Male","Zone 3","EV ratio <5",6,"BM1","0"
18,"Male","Zone 3","EV ratio <5",6,"BM2","0"
18,"Male","Zone 3","EV ratio <5",7,"BM1","0"
18,"Male","Zone 3","EV ratio <5",7,"BM2","0"
18,"Male","Zone 3","EV ratio <5",8,"BM1","0"
18,"Male","Zone 3","EV ratio <5",8,"BM2","0"
18,"Male","Zone 3","EV ratio <5",9,"BM1","0"
18,"Male","Zone 3","EV ratio <5",9,"BM2","0"
18,"Male","Zone 3","EV ratio <5",11,"BM2","0"
18,"Male","Zone 3","EV ratio <5",11,"BM3","0"
18,"Male","Zone 3","EV ratio <5",12,"BM2","0"
18,"Male","Zone 3","EV ratio <5",14,"BM2","0"
18,"Male","Zone 3","EV ratio <5",15,"BM1","0"
18,"Male","Zone 3","EV ratio <5",16,"BM1","0"
18,"Male","Zone 3","EV ratio <5",18,"BM3","0"
18,"Male","Zone 3","EV ratio <5",19,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",4,"BM3","0"
18,"Male","Zone 3","EV ratio 6-8",5,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",9,"BM2","0"
18,"Male","Zone 3","EV ratio 6-8",10,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",11,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",11,"BM2","0"
18,"Male","Zone 3","EV ratio 6-8",13,"BM3","0"
18,"Male","Zone 3","EV ratio 6-8",14,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",15,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",15,"BM2","0"
18,"Male","Zone 3","EV ratio 6-8",16,"BM1","0"
18,"Male","Zone 3","EV ratio 6-8",16,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",3,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",4,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",4,"BM3","0"
18,"Male","Zone 3","EV ratio 9-12",5,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",5,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",6,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",6,"BM3","0"
18,"Male","Zone 3","EV ratio 9-12",7,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",8,"BM2","0"
18,"Male","Zone 3","EV ratio 9-12",8,"BM3","0"
18,"Male","Zone 3","EV ratio 9-12",9,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",11,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",14,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",17,"BM1","0"
18,"Male","Zone 3","EV ratio 9-12",17,"BM2","0"
18,"Male","Zone 3","EV ratio 16-19",15,"BM1","0"
18,"Male","Zone 3","EV ratio 20-24",6,"BM1","0"
18,"Male","Zone 3","EV ratio 20-24",7,"BM2","0"
18,"Male","Zone 3","EV ratio 20-24",11,"BM3","0"
18,"Male","Zone 3","EV ratio >25",5,"BM1","0"
18,"Male","Zone 3","EV ratio >25",8,"BM1","0"
18,"Male","Zone 4","EV ratio <5",1,"BM2","0"
18,"Male","Zone 4","EV ratio <5",1,"BM3","0"
18,"Male","Zone 4","EV ratio <5",2,"BM1","0"
18,"Male","Zone 4","EV ratio <5",2,"BM2","0"
18,"Male","Zone 4","EV ratio <5",3,"BM1","0"
18,"Male","Zone 4","EV ratio <5",3,"BM2","0"
18,"Male","Zone 4","EV ratio <5",3,"BM3","0"
18,"Male","Zone 4","EV ratio <5",4,"BM1","0"
18,"Male","Zone 4","EV ratio <5",4,"BM2","0"
18,"Male","Zone 4","EV ratio <5",4,"BM3","0"
18,"Male","Zone 4","EV ratio <5",4,"BM4","0"
18,"Male","Zone 4","EV ratio <5",5,"BM1","0"
18,"Male","Zone 4","EV ratio <5",5,"BM2","0"
18,"Male","Zone 4","EV ratio <5",5,"BM3","0"
18,"Male","Zone 4","EV ratio <5",6,"BM2","0"
18,"Male","Zone 4","EV ratio <5",6,"BM3","0"
18,"Male","Zone 4","EV ratio <5",7,"BM1","0"
18,"Male","Zone 4","EV ratio <5",7,"BM3","0"
18,"Male","Zone 4","EV ratio <5",8,"BM1","0"
18,"Male","Zone 4","EV ratio <5",8,"BM2","0"
18,"Male","Zone 4","EV ratio <5",9,"BM2","0"
18,"Male","Zone 4","EV ratio <5",9,"BM3","0"
18,"Male","Zone 4","EV ratio <5",10,"BM1","0"
18,"Male","Zone 4","EV ratio <5",10,"BM2","0"
18,"Male","Zone 4","EV ratio <5",10,"BM3","0"
18,"Male","Zone 4","EV ratio <5",11,"BM3","0"
18,"Male","Zone 4","EV ratio <5",12,"BM3","0"
18,"Male","Zone 4","EV ratio <5",13,"BM1","0"
18,"Male","Zone 4","EV ratio <5",13,"BM2","0"
18,"Male","Zone 4","EV ratio <5",13,"BM3","0"
18,"Male","Zone 4","EV ratio <5",14,"BM1","0"
18,"Male","Zone 4","EV ratio <5",14,"BM2","0"
18,"Male","Zone 4","EV ratio <5",15,"BM1","0"
18,"Male","Zone 4","EV ratio <5",16,"BM1","0"
18,"Male","Zone 4","EV ratio <5",16,"BM2","0"
18,"Male","Zone 4","EV ratio <5",17,"BM1","0"
18,"Male","Zone 4","EV ratio <5",17,"BM2","0"
18,"Male","Zone 4","EV ratio <5",18,"BM1","0"
18,"Male","Zone 4","EV ratio <5",18,"BM2","0"
18,"Male","Zone 4","EV ratio <5",18,"BM3","0"
18,"Male","Zone 4","EV ratio <5",19,"BM1","0"
18,"Male","Zone 4","EV ratio <5",25,"BM1","0"
18,"Male","Zone 4","EV ratio <5",30,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",0,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",1,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",5,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",5,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",6,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",7,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",7,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",8,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",8,"BM3","0"
18,"Male","Zone 4","EV ratio 6-8",8,"BM4","0"
18,"Male","Zone 4","EV ratio 6-8",9,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",9,"BM3","0"
18,"Male","Zone 4","EV ratio 6-8",9,"BM4","0"
18,"Male","Zone 4","EV ratio 6-8",10,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",10,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",10,"BM3","0"
18,"Male","Zone 4","EV ratio 6-8",11,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",12,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",12,"BM3","0"
18,"Male","Zone 4","EV ratio 6-8",13,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",13,"BM3","0"
18,"Male","Zone 4","EV ratio 6-8",14,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",15,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",16,"BM2","0"
18,"Male","Zone 4","EV ratio 6-8",18,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",19,"BM1","0"
18,"Male","Zone 4","EV ratio 6-8",21,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",1,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",1,"BM3","0"
18,"Male","Zone 4","EV ratio 9-12",1,"BM6","0"
18,"Male","Zone 4","EV ratio 9-12",1,"BM7","0"
18,"Male","Zone 4","EV ratio 9-12",3,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",3,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",4,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",5,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",6,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",6,"BM3","0"
18,"Male","Zone 4","EV ratio 9-12",7,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",7,"BM3","0"
18,"Male","Zone 4","EV ratio 9-12",8,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",8,"BM3","0"
18,"Male","Zone 4","EV ratio 9-12",9,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",9,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",9,"BM3","0"
18,"Male","Zone 4","EV ratio 9-12",10,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",10,"BM2","0"
18,"Male","Zone 4","EV ratio 9-12",11,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",12,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",13,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",14,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",15,"BM1","0"
18,"Male","Zone 4","EV ratio 9-12",16,"BM1","0"
18,"Male","Zone 4","EV ratio 13-15",1,"BM3","0"
18,"Male","Zone 4","EV ratio 13-15",4,"BM1","0"
18,"Male","Zone 4","EV ratio 13-15",4,"BM2","0"
18,"Male","Zone 4","EV ratio 13-15",6,"BM1","0"
18,"Male","Zone 4","EV ratio 13-15",6,"BM2","0"
18,"Male","Zone 4","EV ratio 13-15",9,"BM3","0"
18,"Male","Zone 4","EV ratio 13-15",10,"BM1","0"
18,"Male","Zone 4","EV ratio 13-15",11,"BM1","0"
18,"Male","Zone 4","EV ratio 13-15",12,"BM1","0"
18,"Male","Zone 4","EV ratio 16-19",4,"BM1","0"
18,"Male","Zone 4","EV ratio 16-19",9,"BM1","0"
18,"Male","Zone 4","EV ratio 16-19",11,"BM1","0"
18,"Male","Zone 4","EV ratio 16-19",12,"BM3","0"
18,"Male","Zone 4","EV ratio 16-19",13,"BM1","0"
18,"Male","Zone 4","EV ratio 16-19",16,"BM1","0"
18,"Male","Zone 4","EV ratio 20-24",3,"BM1","0"
18,"Male","Zone 4","EV ratio 20-24",7,"BM1","0"
18,"Male","Zone 4","EV ratio 20-24",10,"BM2","0"
18,"Male","Zone 4","EV ratio >25",11,"BM1","0"
18,"Male","Zone 5","EV ratio 6-8",8,"BM2","0"
18,"Male","Zone 5","EV ratio 6-8",8,"BM3","0"
18,"Male","Zone 5","EV ratio 6-8",9,"BM1","0"
18,"Male","Zone 5","EV ratio 6-8",11,"BM1","0"
18,"Male","Zone 5","EV ratio 6-8",11,"BM2","0"
18,"Male","Zone 5","EV ratio 6-8",16,"BM1","0"
18,"Male","Zone 5","EV ratio 9-12",12,"BM1","0"
18,"Male","Zone 5","EV ratio 9-12",12,"BM2","0"
18,"Male","Zone 6","EV ratio <5",3,"BM2","0"
18,"Male","Zone 6","EV ratio <5",5,"BM3","0"
18,"Male","Zone 6","EV ratio <5",16,"BM1","0"
18,"Male","Zone 6","EV ratio <5",24,"BM1","0"
18,"Male","Zone 6","EV ratio 6-8",7,"BM1","0"
18,"Male","Zone 6","EV ratio 6-8",8,"BM1","0"
18,"Male","Zone 6","EV ratio 6-8",10,"BM1","0"
18,"Male","Zone 6","EV ratio 6-8",10,"BM2","0"
18,"Male","Zone 6","EV ratio 6-8",13,"BM2","0"
18,"Male","Zone 6","EV ratio 6-8",14,"BM1","0"
18,"Male","Zone 6","EV ratio 9-12",5,"BM1","0"
18,"Male","Zone 6","EV ratio 9-12",9,"BM1","0"
18,"Male","Zone 6","EV ratio 9-12",9,"BM2","0"
18,"Male","Zone 7","EV ratio 9-12",3,"BM4","0"
18,"Male","Zone 7","EV ratio 9-12",3,"BM5","0"
18,"Male","Zone 7","EV ratio 9-12",3,"BM6","0"
18,"Male","Zone 7","EV ratio 9-12",5,"BM1","0"
19,"Female","Zone 1","EV ratio 6-8",5,"BM2","0"
19,"Female","Zone 1","EV ratio 6-8",7,"BM1","0"
19,"Female","Zone 1","EV ratio 9-12",10,"BM4","0"
19,"Female","Zone 2","EV ratio 6-8",8,"BM2","0"
19,"Female","Zone 2","EV ratio 9-12",17,"BM2","0"
19,"Female","Zone 2","EV ratio 13-15",15,"BM1","0"
19,"Female","Zone 3","EV ratio <5",7,"BM2","0"
19,"Female","Zone 3","EV ratio <5",8,"BM1","0"
19,"Female","Zone 3","EV ratio <5",18,"BM1","0"
19,"Female","Zone 3","EV ratio 6-8",13,"BM1","0"
19,"Female","Zone 3","EV ratio 6-8",18,"BM1","0"
19,"Female","Zone 3","EV ratio 9-12",0,"BM2","0"
19,"Female","Zone 3","EV ratio 9-12",12,"BM1","0"
19,"Female","Zone 3","EV ratio 9-12",13,"BM2","0"
19,"Female","Zone 3","EV ratio 9-12",17,"BM3","0"
19,"Female","Zone 3","EV ratio 16-19",14,"BM1","0"
19,"Female","Zone 4","EV ratio <5",11,"BM1","0"
19,"Female","Zone 4","EV ratio <5",18,"BM2","0"
19,"Female","Zone 4","EV ratio <5",19,"BM2","0"
19,"Female","Zone 4","EV ratio <5",20,"BM4","0"
19,"Female","Zone 4","EV ratio 6-8",7,"BM1","0"
19,"Female","Zone 4","EV ratio 6-8",10,"BM1","0"
19,"Female","Zone 4","EV ratio 6-8",11,"BM1","0"
19,"Female","Zone 4","EV ratio 6-8",11,"BM2","0"
19,"Female","Zone 4","EV ratio 6-8",12,"BM1","0"
19,"Female","Zone 4","EV ratio 9-12",3,"BM3","0"
19,"Female","Zone 4","EV ratio 9-12",7,"BM1","0"
19,"Female","Zone 4","EV ratio 9-12",11,"BM1","0"
19,"Female","Zone 4","EV ratio 9-12",15,"BM1","0"
19,"Female","Zone 4","EV ratio 9-12",16,"BM1","0"
19,"Female","Zone 4","EV ratio 13-15",9,"BM2","0"
19,"Female","Zone 4","EV ratio 13-15",10,"BM1","0"
19,"Female","Zone 4","EV ratio 16-19",7,"BM1","0"
19,"Female","Zone 4","EV ratio 16-19",13,"BM1","0"
19,"Female","Zone 4","EV ratio 16-19",16,"BM1","0"
19,"Female","Zone 5","EV ratio 9-12",11,"BM1","0"
19,"Female","Zone 5","EV ratio 9-12",15,"BM4","0"
19,"Female","Zone 5","EV ratio 13-15",14,"BM2","0"
19,"Female","Zone 5","EV ratio 13-15",14,"BM3","0"
19,"Female","Zone 6","EV ratio 9-12",11,"BM1","0"
19,"Female","Zone 6","EV ratio 9-12",14,"BM1","0"
19,"Female","Zone 6","EV ratio 9-12",17,"BM4","0"
19,"Female","Zone 6","EV ratio 16-19",3,"BM1","0"
19,"Male","Zone 1","EV ratio <5",3,"BM3","0"
19,"Male","Zone 1","EV ratio <5",6,"BM1","0"
19,"Male","Zone 1","EV ratio <5",8,"BM3","0"
19,"Male","Zone 1","EV ratio <5",16,"BM1","0"
19,"Male","Zone 1","EV ratio 6-8",5,"BM6","0"
19,"Male","Zone 1","EV ratio 6-8",6,"BM2","0"
19,"Male","Zone 1","EV ratio 6-8",8,"BM1","0"
19,"Male","Zone 1","EV ratio 6-8",8,"BM3","0"
19,"Male","Zone 1","EV ratio 6-8",10,"BM2","0"
19,"Male","Zone 1","EV ratio 6-8",12,"BM1","0"
19,"Male","Zone 1","EV ratio 6-8",12,"BM2","0"
19,"Male","Zone 1","EV ratio 6-8",13,"BM1","0"
19,"Male","Zone 1","EV ratio 9-12",4,"BM1","0"
19,"Male","Zone 1","EV ratio 9-12",4,"BM3","0"
19,"Male","Zone 1","EV ratio 9-12",5,"BM1","0"
19,"Male","Zone 1","EV ratio 9-12",6,"BM3","0"
19,"Male","Zone 1","EV ratio 9-12",6,"BM4","0"
19,"Male","Zone 1","EV ratio 9-12",9,"BM1","0"
19,"Male","Zone 1","EV ratio 9-12",10,"BM2","0"
19,"Male","Zone 1","EV ratio 9-12",13,"BM3","0"
19,"Male","Zone 1","EV ratio 9-12",15,"BM1","0"
19,"Male","Zone 1","EV ratio 9-12",15,"BM2","0"
19,"Male","Zone 1","EV ratio 9-12",17,"BM3","0"
19,"Male","Zone 1","EV ratio 13-15",0,"BM3","0"
19,"Male","Zone 1","EV ratio 13-15",2,"BM1","0"
19,"Male","Zone 1","EV ratio 13-15",4,"BM1","0"
19,"Male","Zone 1","EV ratio 13-15",4,"BM2","0"
19,"Male","Zone 1","EV ratio 13-15",8,"BM4","0"
19,"Male","Zone 1","EV ratio 13-15",16,"BM1","0"
19,"Male","Zone 1","EV ratio 16-19",6,"BM3","0"
19,"Male","Zone 1","EV ratio 16-19",11,"BM1","0"
19,"Male","Zone 1","EV ratio 16-19",14,"BM7","0"
19,"Male","Zone 2","EV ratio <5",6,"BM1","0"
19,"Male","Zone 2","EV ratio <5",7,"BM2","0"
19,"Male","Zone 2","EV ratio <5",7,"BM3","0"
19,"Male","Zone 2","EV ratio <5",8,"BM2","0"
19,"Male","Zone 2","EV ratio <5",9,"BM2","0"
19,"Male","Zone 2","EV ratio <5",10,"BM2","0"
19,"Male","Zone 2","EV ratio <5",10,"BM3","0"
19,"Male","Zone 2","EV ratio <5",12,"BM1","0"
19,"Male","Zone 2","EV ratio <5",12,"BM2","0"
19,"Male","Zone 2","EV ratio <5",15,"BM1","0"
19,"Male","Zone 2","EV ratio <5",16,"BM1","0"
19,"Male","Zone 2","EV ratio <5",21,"BM2","0"
19,"Male","Zone 2","EV ratio <5",21,"BM3","0"
19,"Male","Zone 2","EV ratio <5",30,"BM1","0"
19,"Male","Zone 2","EV ratio 6-8",4,"BM4","0"
19,"Male","Zone 2","EV ratio 6-8",4,"BM6","0"
19,"Male","Zone 2","EV ratio 6-8",7,"BM1","0"
19,"Male","Zone 2","EV ratio 6-8",7,"BM2","0"
19,"Male","Zone 2","EV ratio 6-8",8,"BM2","0"
19,"Male","Zone 2","EV ratio 6-8",10,"BM3","0"
19,"Male","Zone 2","EV ratio 6-8",11,"BM3","0"
19,"Male","Zone 2","EV ratio 6-8",14,"BM2","0"
19,"Male","Zone 2","EV ratio 6-8",16,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",0,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",3,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",4,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",5,"BM2","0"
19,"Male","Zone 2","EV ratio 9-12",6,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",7,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",7,"BM2","0"
19,"Male","Zone 2","EV ratio 9-12",7,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",8,"BM2","0"
19,"Male","Zone 2","EV ratio 9-12",8,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",9,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",9,"BM4","0"
19,"Male","Zone 2","EV ratio 9-12",9,"BM5","0"
19,"Male","Zone 2","EV ratio 9-12",10,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",12,"BM1","0"
19,"Male","Zone 2","EV ratio 9-12",13,"BM3","0"
19,"Male","Zone 2","EV ratio 9-12",17,"BM5","0"
19,"Male","Zone 2","EV ratio 13-15",1,"BM1","0"
19,"Male","Zone 2","EV ratio 13-15",1,"BM2","0"
19,"Male","Zone 2","EV ratio 13-15",2,"BM2","0"
19,"Male","Zone 2","EV ratio 13-15",5,"BM1","0"
19,"Male","Zone 2","EV ratio 13-15",7,"BM3","0"
19,"Male","Zone 2","EV ratio 13-15",8,"BM1","0"
19,"Male","Zone 2","EV ratio 13-15",10,"BM1","0"
19,"Male","Zone 2","EV ratio 13-15",12,"BM2","0"
19,"Male","Zone 2","EV ratio 13-15",16,"BM1","0"
